Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768565183,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768565185,10,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,10,0,1500.0,1490.9122999999454,1482.0541999997658,1516.0668000007718,8.0
1768565186,20,,Aggregated,0.000000,0.000000,48,51,200,220,1500,1500,1500,1500,1500,1500,1500,65,0,48,292.5145230767857,36.25419999843871,1516.0668000007718,8.0
1768565187,30,,Aggregated,0.000000,0.000000,49,56,63,150,210,1500,1500,1500,1500,1500,1500,148,0,49,165.29036216219095,36.25419999843871,1516.0668000007718,8.0
1768565188,50,,Aggregated,17.333333,0.000000,47,53,59,68,190,220,1500,1500,1500,1500,1500,262,0,47,118.98648015269183,34.21170000001439,1516.0668000007718,8.0
1768565189,60,,Aggregated,33.000000,0.000000,47,53,61,66,170,210,1500,1500,1500,1500,1500,404,0,47,98.91680495048145,34.21170000001439,1516.0668000007718,8.0
1768565190,70,,Aggregated,46.200000,0.000000,52,62,71,83,160,210,280,1500,1500,1500,1500,574,0,51,93.82242299650625,34.21170000001439,1516.0668000007718,8.0
1768565191,80,,Aggregated,61.666667,0.000000,58,79,93,100,150,200,250,1500,1500,1500,1500,757,0,58,95.71246182296706,34.21170000001439,1516.0668000007718,8.0
1768565192,90,,Aggregated,75.142857,0.000000,63,85,100,120,150,200,250,1500,1500,1500,1500,936,0,63,96.28228258545596,34.21170000001439,1516.0668000007718,8.0
1768565193,100,,Aggregated,87.375000,0.000000,74,100,120,140,240,310,370,460,1500,1500,1500,1113,0,74,115.66435462711821,34.21170000001439,1516.0668000007718,8.0
1768565194,100,,Aggregated,98.555556,0.000000,83,110,140,160,230,300,360,410,1500,1500,1500,1315,0,83,119.73973376423137,34.21170000001439,1516.0668000007718,8.0
1768565195,100,,Aggregated,104.300000,0.000000,79,110,140,160,210,300,350,440,1500,1500,1500,1606,0,79,114.62697434618433,33.008000000336324,1516.0668000007718,8.0
1768565196,100,,Aggregated,126.000000,0.000000,67,99,120,140,200,280,340,400,1500,1500,1500,1895,0,67,105.2095021635751,33.008000000336324,1516.0668000007718,8.0
1768565197,100,,Aggregated,152.100000,0.000000,63,88,110,130,190,250,330,390,1500,1500,1500,2172,0,63,98.84456224676654,33.008000000336324,1516.0668000007718,8.0
1768565198,100,,Aggregated,174.600000,0.000000,59,79,100,120,180,240,320,370,1500,1500,1500,2452,0,59,92.95442822185387,33.008000000336324,1516.0668000007718,8.0
1768565199,100,,Aggregated,194.600000,0.000000,57,73,94,110,170,230,310,370,1500,1500,1500,2727,0,57,88.79910132013408,33.008000000336324,1516.0668000007718,8.0
